"시나리오별(1)","성별(1)","시도별(1)","시점",0 - 4세,65 - 69세,70 - 74세,75 - 79세,80세이상
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","계","서울특별시","2017",364416,455170,345905,258466,232567
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","계","서울특별시","2018",337490,462000,354357,276697,248782
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","계","서울특별시","2019",315996,475423,369548,282988,269537
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","계","서울특별시","2020",289085,509622,386879,290507,289744
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","계","서울특별시","2021",258523,545908,398468,288219,313044
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","계","서울특별시","2022",233066,569069,404451,298961,343788
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","계","서울특별시","2023",211978,596521,413664,308695,372973
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","계","서울특별시","2024",194295,624928,427086,323112,393234
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","계","서울특별시","2025",183670,640570,459553,339304,413657
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","계","서울특별시","2026",180529,665938,495165,350252,426593
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","계","서울특별시","2027",182900,666219,519180,357320,457313
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","계","서울특별시","2028",190725,674155,547323,367588,484884
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","계","서울특별시","2029",202266,660575,576496,381297,508753
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","계","서울특별시","2030",215173,645870,594543,413045,534519
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","계","서울특별시","2031",227317,624410,622213,446914,549132
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","계","서울특별시","2032",238601,620597,625626,470445,576790
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","계","서울특별시","2033",248769,609534,636285,498241,604314
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","계","서울특별시","2034",257678,630999,625552,527084,631837
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","계","서울특별시","2035",265298,637360,613868,546507,677516
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","계","서울특별시","2036",270318,653867,595492,575077,714828
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","계","서울특별시","2037",271706,666196,593751,580350,754872
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","계","서울특별시","2038",269996,670708,584991,592570,798552
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","계","서울특별시","2039",265761,658697,607568,583935,843083
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","계","서울특별시","2040",259534,642342,615115,574845,895472
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","계","서울특별시","2041",253010,614028,632186,559513,948453
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","계","서울특별시","2042",247534,590952,644976,559438,982357
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","계","서울특별시","2043",243055,570316,650406,552959,1025787
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","계","서울특별시","2044",239501,555498,640038,576053,1050252
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","계","서울특별시","2045",236632,561574,625320,584509,1081651
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","계","서울특별시","2046",234100,573250,598982,601794,1107637
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","계","서울특별시","2047",231520,587077,577559,614644,1130175
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","계","서울특별시","2048",228515,592043,558322,620620,1155661
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","계","서울특별시","2049",224801,586143,544657,611878,1191107
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","계","서울특별시","2050",220189,560961,551367,598818,1219349
