"가정별","시점",전체
"중위","2020",83.5
"중위","2021",83.9
"중위","2022",84.1
"중위","2023",84.3
"중위","2024",84.5
"중위","2025",84.7
"중위","2026",84.9
"중위","2027",85.1
"중위","2028",85.3
"중위","2029",85.5
"중위","2030",85.7
"중위","2031",85.9
"중위","2032",86.1
"중위","2033",86.3
"중위","2034",86.4
"중위","2035",86.6
"중위","2036",86.8
"중위","2037",87.0
"중위","2038",87.1
"중위","2039",87.3
"중위","2040",87.4
"중위","2041",87.6
"중위","2042",87.7
"중위","2043",87.9
"중위","2044",88.0
"중위","2045",88.2
"중위","2046",88.3
"중위","2047",88.5
"중위","2048",88.6
"중위","2049",88.7
"중위","2050",88.9
"중위","2051",89.0
"중위","2052",89.1
"중위","2053",89.3
"중위","2054",89.4
"중위","2055",89.5
"중위","2056",89.6
"중위","2057",89.8
"중위","2058",89.9
"중위","2059",90.0
"중위","2060",90.1
"중위","2061",90.2
"중위","2062",90.3
"중위","2063",90.5
"중위","2064",90.6
"중위","2065",90.7
"중위","2066",90.8
"중위","2067",90.9
"중위","2068",91.0
"중위","2069",91.1
"중위","2070",91.2
